,Prix,Marque,Modèle,Carburant,Kilométrage,Boitedevitesse,Puissancefiscale,Année
17816,24500,Audi,A1,Essence,55000,Automatique,10.0,2018.0
17817,14990,Peugeot,308,Diesel,55000,Manuelle,5.0,2018.0
17818,15990,Renault,Captur,Essence,55000,Automatique,6.0,2018.0
17819,15900,Dacia,Duster,Diesel,55000,Automatique,6.0,2018.0
17820,11000,Renault,Clio,Essence,55000,Manuelle,5.0,2018.0
17821,20500,Nissan,Qashqai,Diesel,55000,Manuelle,7.0,2018.0
17822,18900,Peugeot,308,Essence,55000,Automatique,7.0,2018.0
17823,17500,Volkswagen,Golf,Essence,55000,Manuelle,6.0,2018.0
17824,24500,Peugeot,3008,Diesel,55000,Manuelle,6.0,2018.0
17825,29990,Mercedes,Classe A,Essence,55000,Automatique,8.0,2018.0
17826,22490,Bmw,Serie 1,Essence,55000,Automatique,10.0,2018.0
17827,9990,Citroen,C3,Diesel,55000,Manuelle,5.0,2018.0
17828,11900,Renault,Clio,Diesel,55000,Manuelle,5.0,2018.0
17829,10990,Renault,Clio,Diesel,55000,Manuelle,4.0,2018.0
17830,31990,Mercedes,Classe A,Essence,55000,Automatique,8.0,2018.0
17831,24500,Bmw,Serie 1,Essence,55000,Automatique,10.0,2019.0
17832,36000,Volkswagen,Tiguan,Diesel,55000,Automatique,8.0,2019.0
17833,11690,Citroen,C3,Diesel,55000,Manuelle,5.0,2019.0
17834,13900,Citroen,C4,Essence,55000,Manuelle,7.0,2019.0
17835,12490,Peugeot,208,Essence,55000,Manuelle,4.0,2019.0
17836,15500,Volkswagen,Polo,Diesel,55000,Manuelle,5.0,2019.0
17837,16500,Dacia,Duster,Diesel,55000,Manuelle,6.0,2019.0
17838,22900,Bmw,Serie 1,Essence,55000,Automatique,7.0,2019.0
17839,21500,Peugeot,308,Diesel,55000,Manuelle,6.0,2019.0
17840,20990,Mini,Mini,Diesel,55000,Manuelle,6.0,2019.0
17841,9500,Dacia,Sandero,Essence,55000,Manuelle,4.0,2019.0
17842,13500,Citroen,C4,Diesel,55000,Manuelle,5.0,2019.0
17843,16780,Renault,Megane,Diesel,55000,Manuelle,6.0,2019.0
17844,12000,Volkswagen,Polo,Essence,55000,Manuelle,4.0,2019.0
17845,37900,Mercedes,Classe C,Diesel,55000,Automatique,10.0,2019.0
17846,42000,Bmw,Serie 3,Essence,55000,Automatique,15.0,2019.0
17847,18490,Volkswagen,Golf,Diesel,55000,Manuelle,6.0,2019.0
17848,36990,Mercedes,Classe A,Diesel,55000,Automatique,10.0,2019.0
17849,24300,Volkswagen,Tiguan,Essence,55000,Manuelle,8.0,2019.0
17850,33900,Mercedes,Classe C,Diesel,55000,Automatique,6.0,2019.0
17851,12200,Peugeot,208,Diesel,55000,Manuelle,5.0,2019.0
17852,19000,Mini,Mini,Essence,55000,Manuelle,5.0,2019.0
17853,14990,Renault,Megane,Diesel,55000,Manuelle,6.0,2019.0
17854,17490,Renault,Megane,Diesel,55000,Automatique,6.0,2019.0
17855,36490,Volkswagen,Golf,Diesel,55000,Automatique,18.0,2019.0
17856,16490,Volkswagen,Polo,Diesel,55000,Manuelle,5.0,2019.0
17857,27500,Bmw,Serie 3,Essence,55000,Automatique,15.0,2019.0
17858,13950,Peugeot,208,Essence,55000,Manuelle,4.0,2020.0
17859,15990,Renault,Clio,Diesel,55000,Manuelle,6.0,2020.0
17860,21990,Peugeot,208,Essence,55000,Automatique,7.0,2020.0
17861,12990,Renault,Clio,Diesel,55000,Manuelle,4.0,2021.0
17862,9900,Peugeot,208,Essence,55010,Manuelle,4.0,2017.0
17863,11460,Fiat,500,Essence,55010,Manuelle,4.0,2018.0
17864,21490,Bmw,Serie 1,Essence,55010,Automatique,7.0,2019.0
17865,22990,Ford,Fiesta,Essence,55011,Manuelle,11.0,2019.0
17866,14690,Peugeot,2008,Essence,55014,Manuelle,4.0,2019.0
17867,12990,Peugeot,208,Diesel,55016,Manuelle,4.0,2017.0
17868,11990,Renault,Clio,Diesel,55028,Manuelle,4.0,2018.0
17869,23690,Peugeot,508,Diesel,55028,Automatique,8.0,2019.0
17870,13490,Peugeot,208,Essence,55031,Manuelle,8.0,2015.0
17871,18290,Peugeot,508,Diesel,55047,Automatique,9.0,2016.0
17872,12990,Peugeot,208,Diesel,55047,Manuelle,5.0,2019.0
17873,12990,Peugeot,2008,Essence,55058,Manuelle,5.0,2015.0
17874,10590,Citroen,C3,Essence,55061,Manuelle,4.0,2017.0
17875,8990,Fiat,500,Essence,55080,Manuelle,4.0,2015.0
17876,12699,Renault,Clio,Diesel,55090,Manuelle,4.0,2017.0
17877,11490,Renault,Clio,Diesel,55098,Manuelle,4.0,2018.0
17878,20490,Volkswagen,Golf,Essence,55100,Manuelle,6.0,2019.0
17879,13990,Ford,Fiesta,Diesel,55104,Manuelle,4.0,2019.0
17880,34790,Volkswagen,Tiguan,Diesel,55104,Automatique,11.0,2019.0
